date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:46	32138/32138	U--M-Z	200	updated ('OK')	text/html	etag:%221e0879-7d8a-5a4949cc66670-gzip%22	https://www.seleniumeasy.com/test/	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/index.html	(from )
03:23:46	2189/2189	U-----	200	untouched ('OK')	text/plain	etag:%221e29c0-88d-599f6c72a5c80%22	https://www.seleniumeasy.com/robots.txt		(from )
03:23:46	2812/2812	---M--	200	added ('OK')	text/css	etag:%22201271-afc-5489e75722200%22	https://www.seleniumeasy.com/test/css/main.css	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/css/main.css	(from https://www.seleniumeasy.com/test/)
03:23:46	121200/121200	---M--	200	added ('OK')	text/css	etag:%2220126a-1d970-54290f11592c0%22	https://www.seleniumeasy.com/test/css/bootstrap.min.css	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/css/bootstrap.min.css	(from https://www.seleniumeasy.com/test/)
03:23:46	4136/4136	---M--	200	added ('OK')	text/css	etag:%2220126c-1028-54383d9c69440%22	https://www.seleniumeasy.com/test/css/custom.css	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/css/custom.css	(from https://www.seleniumeasy.com/test/)
03:23:46	4977/4977	---M--	200	added ('OK')	text/css	etag:%22201274-1371-5436dd238fe40%22	https://www.seleniumeasy.com/test/css/slider-cars.css	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/css/slider-cars.css	(from https://www.seleniumeasy.com/test/)
03:23:47	4204/4204	---M--	200	added ('OK')	text/css	etag:%2220126e-106c-54331ef12d2c0%22	https://www.seleniumeasy.com/test/css/home-bar.css	C:/SelEasy/SeleniumEasy/www.seleniumeasy.com/test/css/home-bar.css	(from https://www.seleniumeasy.com/test/)
03:23:47	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/SelEasy/SeleniumEasy/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://www.seleniumeasy.com/test/)
03:23:48	52789/52789	---M-Z	200	added ('OK')	text/css	etag:W/%225afd483a-ce35%22	http://cdn.bootcss.com/animate.css/3.5.1/animate.min.css	C:/SelEasy/SeleniumEasy/cdn.bootcss.com/animate.css/3.5.1/animate.min.css	(from https://www.seleniumeasy.com/test/)
03:23:48	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2004%20Jul%202020%2021:53:49%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	C:/SelEasy/SeleniumEasy/s7.addthis.com/js/300/addthis_widget.7.delayed	(from https://www.seleniumeasy.com/test/)
